,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Hour
2429,Sunday,18-30,Male,Elementary school,Employee,1-2yr,Lorry (11?40Q),Owner,2-5yrs,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads with some distress,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Moving Backward,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,18
2430,Friday,Above 50,Male,High school,Employee,1-2yr,Stationwagen,Owner,Unknown,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,Over 51,3,Driver,Deaf,Not a Pedestrian,Overtaking,9
2431,Friday,31-50,Male,Above high school,Employee,5-10yr,Other,Owner,Unknown,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,9
2432,Friday,18-30,Male,Unknown,,Unknown,Other,,Unknown,,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Windy,Vehicle with vehicle collision,1,1,Turnover,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Moving Backward,13
2433,Sunday,Unknown,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Governmental,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,2,Self-employed,Normal,Not a Pedestrian,No distancing,0
2434,Monday,Unknown,Male,Elementary school,Owner,5-10yr,,Owner,Above 10yr,No defect, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,13
2435,Monday,Unknown,Male,Elementary school,Employee,5-10yr,Automobile,,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,13
2436,Monday,Under 18,Male,High school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Passenger,Female,18-30,3,,,Not a Pedestrian,Driving carelessly,13
2437,Monday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Moving Backward,15
2438,Monday,18-30,Male,Junior high school,Owner,1-2yr,Lorry (41?100Q),Owner,Unknown,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,15
2439,Thursday,Unknown,Female,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,1,Moving Backward,Driver or rider,Male,Over 51,3,Student,Normal,Not a Pedestrian,Driving to the left,17
2440,Thursday,31-50,Male,Junior high school,Owner,5-10yr,Pick up upto 10Q,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Employee,Normal,Not a Pedestrian,Changing lane to the left,17
2441,Monday,31-50,Male,Junior high school,Owner,Above 10yr,Lorry (41?100Q),Owner,Unknown,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,17
2442,Monday,Unknown,Male,High school,Employee,5-10yr,Public (13?45 seats),Owner,Unknown,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Over 51,2,Other,Normal,Not a Pedestrian,No distancing,17
2443,Wednesday,18-30,Male,High school,Owner,2-5yr,Long lorry,Owner,2-5yrs,,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,,Normal,Not a Pedestrian,Changing lane to the right,5
2444,Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Collision with pedestrians,2,2,Moving Backward,Driver or rider,Female,18-30,3,,,Not a Pedestrian,Driving under the influence of drugs,5
2445,Wednesday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Owner,5-10yrs,,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,1,1,Going straight,Pedestrian,Female,Over 51,2,,,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,17
2446,Friday,18-30,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Pedestrian,Female,Over 51,3,Employee,,Unknown or other,Changing lane to the left,7
2447,Friday,Unknown,Male,Junior high school,Employee,1-2yr,,Owner,Unknown,,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,18-30,3,Driver,,Not a Pedestrian,Moving Backward,7
2448,Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Long lorry,Owner,Unknown,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,,Not a Pedestrian,No distancing,18
2449,Tuesday,Unknown,Male,Unknown,,Unknown,Public (12 seats),Owner,Unknown,,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Over 51,2,Driver,,Not a Pedestrian,Changing lane to the right,18
2450,Thursday,31-50,Male,Elementary school,Employee,Above 10yr,Public (12 seats),Owner,5-10yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Pedestrian,Male,Over 51,3,Self-employed,Normal,Not a Pedestrian,Moving Backward,15
2451,Thursday,31-50,Male,Elementary school,Employee,Below 1yr,Other,Owner,Unknown,,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,2,Going straight,Passenger,Female,Over 51,3,Driver,Normal,Not a Pedestrian,No distancing,15
2452,Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Other,Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Other,Normal,Not a Pedestrian,Driving to the left,6
2453,Tuesday,31-50,Male,Elementary school,Owner,1-2yr,Other,Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,18-30,3,,,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving to the left,6
2454,Monday,Unknown,Male,Junior high school,Owner,5-10yr,Public (12 seats),Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Getting off,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,20
2455,Thursday,Unknown,Female,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,3,Self-employed,Normal,Not a Pedestrian,Moving Backward,23
2456,Thursday,18-30,Male,Junior high school,Employee,2-5yr,Other,Owner,Above 10yr,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,31-50,2,Self-employed,Normal,Not a Pedestrian,Overtaking,23
2457,Sunday,Unknown,Female,High school,Employee,2-5yr,Public (12 seats),Governmental,Below 1yr,No defect,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Driving carelessly,16
2458,Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Other,Owner,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,,Other,Not a Pedestrian,Changing lane to the left,15
2459,Saturday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Blind,Not a Pedestrian,Driving under the influence of drugs,15
2460,Saturday,Unknown,Male,Junior high school,Employee,1-2yr,Other,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,9
2461,Saturday,31-50,Male,Junior high school,Employee,2-5yr,Other,Owner,Unknown,,Residential areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Moving Backward,22
2462,Saturday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,No defect,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,22
2463,Friday,Above 50,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,11
2464,Friday,18-30,Male,Elementary school,Employee,1-2yr,Automobile,Owner,Above 10yr,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,Under 18,3,Driver,Normal,Not a Pedestrian,No distancing,11
2465,Thursday,Unknown,Male,Junior high school,Employee,2-5yr,Other,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving at high speed,15
2466,Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Organization,2-5yrs,,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,2,Driver,Normal,Not a Pedestrian,Changing lane to the right,15
2467,Monday,Unknown,Male,Junior high school,Employee,Below 1yr,Public (13?45 seats),Owner,Unknown,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,18
2468,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,5-10yrs,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,,na,na,na,na,,Normal,Not a Pedestrian,No distancing,18
2469,Tuesday,31-50,Male,Elementary school,Owner,5-10yr,Pick up upto 10Q,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,Over 51,3,Employee,Normal,Not a Pedestrian,Turnover,22
2470,Tuesday,18-30,Male,Elementary school,Employee,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,No defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,,na,na,na,na,,,Not a Pedestrian,No distancing,22
2471,Friday,Under 18,Male,Junior high school,Employee,1-2yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,22
2472,Friday,Unknown,Male,Unknown,,Unknown,Other,Owner,Unknown,,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Earth roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,No distancing,22
2473,Thursday,31-50,Male,High school,Owner,5-10yr,Lorry (41?100Q),Owner,Above 10yr,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,1,,Driver or rider,Female,Under 18,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,19
2474,Thursday,31-50,Male,Elementary school,Employee,2-5yr,Pick up upto 10Q,Owner,Unknown,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,Driving carelessly,19
2475,Sunday,Above 50,Male,Unknown,,Unknown,Other,Owner,Above 10yr,No defect,Residential areas,,Tangent road with flat terrain,Crossing,,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,17
2476,Sunday,18-30,Male,Unknown,,Unknown,Lorry (41?100Q),Owner,5-10yrs,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,31-50,3,Student,Normal,Not a Pedestrian,No priority to vehicle,17
2477,Friday,31-50,Male,High school,Owner,1-2yr,Ridden horse,Owner,Unknown,No defect,  Recreational areas,other,,No junction,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Over 51,2,,,Unknown or other,No distancing,3
2478,Friday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Governmental,Unknown,No defect,Office areas,other,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Under 18,3,,,Not a Pedestrian,No priority to pedestrian,3
