Date,Price,Open,High,Low,Vol.,Change %,Daily Return %,MA_30,MA_100
2025-06-07,105615.62,104390.65,105972.76,103987.31,38365033776.0,1.17,1.1737484522035269,105694.18233333333,92614.19790000001
2025-06-08,105793.65,105617.51,106497.06,105075.33,36626232328.0,0.17,0.1685640817144174,105788.27566666667,92828.4043
2025-06-09,110294.1,105793.02,110561.42,105400.23,55903193732.0,4.25,4.253988779099704,105974.868,93071.02620000001
2025-06-10,110257.23,110295.69,110380.12,108367.71,54700101509.0,-0.03,-0.033428805348623136,106179.89700000001,93231.115
2025-06-11,108686.62,110261.8,110384.22,108086.33,50842662052.0,-1.43,-1.4244961532227873,106375.686,93457.32449999999
2025-06-12,105929.05,108685.91,108780.7,105785.69,54843867968.0,-2.54,-2.5371752291128313,106434.32733333333,93644.39299999998
2025-06-13,106090.97,105924.59,106182.55,102822.02,69550440846.0,0.16,0.15285703024807695,106519.37933333333,93799.06709999999
2025-06-14,105472.41,106108.09,106203.76,104379.37,38007870453.0,-0.6,-0.5830467946517981,106576.97166666666,93954.17390000001
2025-06-15,105552.02,105464.84,106157.1,104519.88,36744307742.0,0.08,0.0754794547692672,106645.72933333334,94142.2674
2025-06-16,106796.76,105555.59,108915.38,104997.62,50366626945.0,1.18,1.1792668676544382,106765.91833333332,94348.68909999999
2025-06-17,104601.12,106794.12,107750.2,103396.53,55964092176.0,-2.05,-2.055905066782926,106704.422,94588.6899
2025-06-18,104883.33,104602.07,105581.85,103602.27,47318089133.0,0.27,0.26979634634887173,106680.32699999999,94852.2032
2025-06-19,104684.29,104886.77,105250.89,103940.77,37333806920.0,-0.19,-0.18977276941912757,106610.10033333332,95070.42399999998
2025-06-20,103309.6,104681.03,106539.38,102372.21,50951862476.0,-1.31,-1.3131769819521022,106397.81766666665,95266.29639999999
2025-06-21,102257.41,103315.08,104015.78,100973.06,38360555118.0,-1.02,-1.0184823094852802,106083.95533333333,95478.2035
2025-06-22,100987.14,102212.03,103351.63,98286.2,65536997201.0,-1.2,-1.2422278248588547,105873.93333333333,95648.3839
2025-06-23,105577.77,100987.48,106116.86,99705.75,65237759656.0,4.55,4.545757014209939,105800.15366666668,95860.73049999999
