Date,Price,Open,High,Low,Vol.,Change %
5/17/2017,1839.09,1726.73,1864.05,1661.91,1064729984,6.51
5/18/2017,1888.65,1818.7,1904.48,1807.12,894321024,3.85
5/19/2017,1987.71,1897.37,2004.52,1890.25,1157289984,4.76
5/20/2017,2084.73,1984.24,2084.73,1974.92,961336000,5.06
5/21/2017,2041.2,2067.03,2119.08,2037.5,1147859968,-1.25
5/22/2017,2173.4,2043.19,2303.9,2017.87,1942220032,6.37
5/23/2017,2320.42,2191.56,2320.82,2178.5,1378749952,5.88
5/24/2017,2443.64,2321.37,2523.72,2321.37,1725379968,5.27
5/25/2017,2304.98,2446.24,2763.71,2285.3,2406700032,-5.77
5/26/2017,2202.42,2320.89,2573.79,2071.99,1763480064,-5.1
5/27/2017,2038.87,2196.27,2260.2,1855.83,1700480000,-7.17
5/28/2017,2155.8,2054.08,2267.34,2054.08,1147139968,4.95
5/29/2017,2255.61,2159.43,2307.05,2107.17,994625024,4.45
5/30/2017,2175.47,2255.36,2301.96,2124.57,1443970048,-3.54
5/31/2017,2286.41,2187.19,2311.08,2145.57,1544829952,4.54
6/1/2017,2407.88,2288.33,2448.39,2288.33,1653180032,5.22
6/2/2017,2488.55,2404.03,2488.55,2373.32,1317030016,3.52
6/3/2017,2515.35,2493.72,2581.91,2423.57,1514950016,0.87
6/4/2017,2511.81,2547.79,2585.89,2452.54,1355120000,-1.41
6/5/2017,2686.81,2512.4,2686.81,2510.22,1369309952,6.94
6/6/2017,2863.2,2690.84,2999.91,2690.84,2089609984,6.41
6/7/2017,2732.16,2869.38,2869.38,2700.56,1517709952,-4.78
6/8/2017,2805.62,2720.49,2815.3,2670.95,1281170048,3.13
6/9/2017,2823.81,2807.44,2901.71,2795.62,1348950016,0.58
6/10/2017,2947.71,2828.14,2950.99,2746.55,2018889984,4.23
6/11/2017,2958.11,2942.41,2996.6,2840.53,1752400000,0.53
6/12/2017,2659.63,2953.22,2997.26,2518.56,2569530112,-9.94
6/13/2017,2717.02,2680.91,2789.04,2650.38,1781200000,1.35
6/14/2017,2506.37,2716.88,2786.83,2412.94,1696560000,-7.75
6/15/2017,2464.58,2499.58,2534.71,2212.96,2026259968,-1.4
6/16/2017,2518.56,2469.57,2539.92,2385.15,1195190016,1.98
